PC,pct_variance,cumulative_pct
1,2.53,2.53
2,1.262,3.79
3,1.006,4.8
4,0.87,5.67
5,0.513,6.18
6,0.284,6.46
7,0.245,6.71
8,0.203,6.91
9,0.195,7.11
10,0.194,7.3
11,0.192,7.49
12,0.186,7.68
13,0.183,7.86
14,0.181,8.04
15,0.18,8.22
16,0.178,8.4
17,0.177,8.58
18,0.177,8.76
19,0.175,8.93
20,0.174,9.1
21,0.173,9.28
22,0.172,9.45
23,0.172,9.62
24,0.171,9.79
25,0.171,9.96
26,0.171,10.13
27,0.169,10.3
28,0.169,10.47
29,0.168,10.64
30,0.168,10.81
31,0.167,10.98
32,0.167,11.14
33,0.166,11.31
34,0.166,11.48
35,0.166,11.64
36,0.165,11.81
37,0.164,11.97
38,0.164,12.13
39,0.163,12.3
40,0.163,12.46
41,0.163,12.62
42,0.162,12.79
43,0.162,12.95
44,0.162,13.11
45,0.161,13.27
46,0.161,13.43
47,0.16,13.59
48,0.16,13.75
49,0.159,13.91
50,0.159,14.07
